video_name,dominant_emotion,angry,disgust,scared,happy,sad,surprised,neutral,usefulness_tool,,given_val,given_aro,match_val,match_aro
AboutTime_000.mp4,neutral,0,0,1,1,1,0,3,Non-useful,,Useful,Non-useful,,match
AboutTime_001.mp4,angry,1,0,0,0,1,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_002.mp4,happy,2,0,0,3,1,0,3,Non-useful,,Useful,Non-useful,,match
AboutTime_003.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_004.mp4,happy,0,0,0,6,0,0,1,Non-useful,,Useful,Useful,,
AboutTime_005.mp4,happy,2,0,6,25,1,0,2,Useful,,Useful,Useful,match,match
AboutTime_006.mp4,neutral,0,0,2,2,0,0,4,Non-useful,,Useful,Useful,,
AboutTime_007.mp4,neutral,21,0,14,24,12,0,27,Non-useful,,Non-useful,Useful,match,
AboutTime_008.mp4,angry,39,0,4,27,3,0,18,Useful,,Non-useful,Useful,,match
AboutTime_009.mp4,neutral,39,0,24,38,56,0,86,Non-useful,,Non-useful,Useful,match,
AboutTime_010.mp4,neutral,5,0,19,33,22,0,55,Non-useful,,Useful,Useful,,
AboutTime_011.mp4,happy,2,0,14,38,4,0,9,Useful,,Useful,Useful,match,match
AboutTime_012.mp4,sad,26,0,19,56,90,0,30,Useful,,Useful,Useful,match,match
AboutTime_013.mp4,neutral,0,0,6,0,30,0,35,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_014.mp4,happy,9,0,3,20,8,0,16,Non-useful,,Useful,Useful,,
AboutTime_015.mp4,sad,0,0,0,3,6,0,3,Non-useful,,Non-useful,Useful,match,
AboutTime_016.mp4,neutral,4,0,15,25,16,0,34,Non-useful,,Useful,Non-useful,,match
AboutTime_017.mp4,sad,0,0,1,9,13,0,6,Non-useful,,Useful,Non-useful,,match
AboutTime_018.mp4,happy,17,1,10,63,57,0,33,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_019.mp4,happy,8,0,1,76,15,0,3,Useful,,Useful,Non-useful,match,
AboutTime_020.mp4,neutral,0,0,19,34,13,0,119,Non-useful,,Non-useful,Useful,match,
AboutTime_021.mp4,neutral,0,0,29,26,12,0,57,Non-useful,,Non-useful,Useful,match,
AboutTime_022.mp4,happy,0,0,27,72,7,0,59,Useful,,Useful,Useful,match,match
AboutTime_023.mp4,happy,0,0,11,56,10,0,42,Useful,,Non-useful,Useful,,match
AboutTime_024.mp4,happy,2,0,0,11,4,0,0,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_025.mp4,sad,12,0,0,37,62,0,5,Useful,,Non-useful,Non-useful,,
AboutTime_026.mp4,happy,0,0,9,43,38,0,30,Non-useful,,Useful,Useful,,
AboutTime_027.mp4,sad,0,0,13,38,57,0,9,Useful,,Useful,Useful,match,match
AboutTime_028.mp4,sad,1,0,11,29,35,0,0,Non-useful,,Useful,Useful,,
AboutTime_029.mp4,happy,1,0,13,36,34,0,4,Non-useful,,Useful,Non-useful,,match
AboutTime_030.mp4,neutral,3,0,6,5,4,0,51,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_031.mp4,neutral,0,0,1,3,0,0,25,Non-useful,,Useful,Useful,,
AboutTime_032.mp4,neutral,8,0,0,8,1,0,12,Non-useful,,Useful,Useful,,
AboutTime_033.mp4,happy,6,0,3,49,10,0,22,Useful,,Non-useful,Useful,,match
AboutTime_034.mp4,happy,1,0,12,62,21,0,42,Useful,,Useful,Useful,match,match
AboutTime_035.mp4,neutral,0,0,0,2,0,0,3,Non-useful,,Non-useful,Useful,match,
AboutTime_036.mp4,neutral,10,2,47,79,49,4,134,Non-useful,,Non-useful,Useful,match,
AboutTime_037.mp4,neutral,43,0,38,42,43,0,83,Non-useful,,Useful,Useful,,
AboutTime_038.mp4,neutral,2,0,36,40,25,0,74,Non-useful,,Non-useful,Useful,match,
AboutTime_039.mp4,neutral,2,0,32,21,10,0,39,Non-useful,,Non-useful,Useful,match,
AboutTime_040.mp4,happy,2,0,84,115,6,0,45,Useful,,Useful,Useful,match,match
AboutTime_041.mp4,happy,4,0,1,28,1,0,3,Useful,,Useful,Non-useful,match,
AboutTime_042.mp4,happy,9,0,23,206,44,0,115,Useful,,Useful,Useful,match,match
AboutTime_043.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_044.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_045.mp4,happy,11,0,0,46,2,0,11,Useful,,Useful,Non-useful,match,
AboutTime_046.mp4,happy,0,0,0,6,5,0,0,Non-useful,,Useful,Useful,,
AboutTime_047.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Useful,,
AboutTime_048.mp4,happy,0,0,0,5,0,0,4,Non-useful,,Useful,Useful,,
AboutTime_049.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_050.mp4,happy,0,0,3,6,0,0,5,Non-useful,,Useful,Non-useful,,match
AboutTime_051.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_052.mp4,neutral,0,0,0,1,0,0,2,Non-useful,,Useful,Useful,,
AboutTime_053.mp4,happy,0,0,0,1,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_054.mp4,happy,8,0,3,24,4,0,7,Useful,,Useful,Non-useful,match,
AboutTime_055.mp4,sad,3,0,2,1,5,0,5,Non-useful,,Useful,Non-useful,,match
AboutTime_056.mp4,happy,0,0,0,17,2,0,6,Useful,,Useful,Non-useful,match,
AboutTime_057.mp4,happy,29,0,32,85,54,0,57,Useful,,Non-useful,Useful,,match
AboutTime_058.mp4,neutral,0,0,0,0,0,0,1,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_059.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Non-useful,Useful,match,
AboutTime_060.mp4,happy,0,0,0,55,0,0,12,Useful,,Non-useful,Non-useful,,
AboutTime_061.mp4,happy,0,0,1,239,0,0,160,Useful,,Useful,Non-useful,match,
AboutTime_062.mp4,angry,0,0,0,0,0,0,0,Non-useful,,Useful,Non-useful,,match
AboutTime_063.mp4,happy,3,0,21,104,3,0,25,Useful,,Useful,Non-useful,match,
AboutTime_064.mp4,happy,1,1,3,92,37,0,23,Useful,,Useful,Non-useful,match,
AboutTime_065.mp4,neutral,6,0,6,15,3,0,32,Non-useful,,Useful,Useful,,
AboutTime_066.mp4,neutral,5,0,2,7,15,0,17,Non-useful,,Useful,Useful,,
AboutTime_067.mp4,happy,0,0,31,53,3,0,43,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_068.mp4,happy,1,0,0,10,0,0,7,Non-useful,,Useful,Useful,,
AboutTime_069.mp4,happy,27,0,11,170,42,0,48,Useful,,Useful,Useful,match,match
AboutTime_070.mp4,happy,1,0,1,34,0,0,3,Useful,,Non-useful,Useful,,match
AboutTime_071.mp4,happy,1,0,19,108,15,0,41,Useful,,Useful,Useful,match,match
AboutTime_072.mp4,happy,14,0,7,175,27,0,56,Useful,,Useful,Useful,match,match
AboutTime_073.mp4,happy,12,3,3,29,8,0,10,Useful,,Useful,Useful,match,match
AboutTime_074.mp4,neutral,27,0,8,19,19,0,34,Non-useful,,Useful,Non-useful,,match
AboutTime_075.mp4,neutral,5,0,55,101,44,0,171,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_076.mp4,happy,16,0,1,34,14,0,11,Useful,,Non-useful,Non-useful,,
AboutTime_077.mp4,neutral,0,0,5,17,26,0,28,Non-useful,,Useful,Non-useful,,match
AboutTime_078.mp4,happy,8,0,37,104,17,0,63,Useful,,Useful,Non-useful,match,
AboutTime_079.mp4,happy,10,0,5,20,14,0,6,Non-useful,,Useful,Non-useful,,match
AboutTime_080.mp4,happy,2,0,1,37,19,0,28,Non-useful,,Useful,Non-useful,,match
AboutTime_081.mp4,happy,0,0,8,39,3,0,35,Non-useful,,Useful,Non-useful,,match
AboutTime_082.mp4,neutral,3,0,0,1,0,0,44,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_083.mp4,happy,2,0,4,73,6,0,5,Useful,,Useful,Non-useful,match,
AboutTime_084.mp4,happy,0,0,0,31,7,0,15,Useful,,Non-useful,Non-useful,,
AboutTime_085.mp4,neutral,24,0,12,41,30,0,130,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_086.mp4,happy,1,0,3,84,20,0,36,Useful,,Non-useful,Non-useful,,
AboutTime_087.mp4,sad,33,1,0,33,78,0,30,Useful,,Non-useful,Non-useful,,
AboutTime_088.mp4,scared,0,0,8,6,0,0,3,Non-useful,,Non-useful,Useful,match,
AboutTime_089.mp4,neutral,3,0,5,4,3,0,21,Non-useful,,Non-useful,Useful,match,
AboutTime_090.mp4,happy,0,0,5,17,0,0,6,Useful,,Non-useful,Useful,,match
AboutTime_091.mp4,neutral,10,0,15,21,2,0,53,Non-useful,,Non-useful,Useful,match,
AboutTime_092.mp4,neutral,0,0,10,19,0,0,45,Non-useful,,Non-useful,Useful,match,
AboutTime_093.mp4,neutral,0,0,20,7,1,0,21,Non-useful,,Useful,Useful,,
AboutTime_094.mp4,neutral,0,0,0,7,2,0,8,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_095.mp4,happy,3,0,2,51,1,0,5,Useful,,Useful,Non-useful,match,
AboutTime_096.mp4,happy,1,0,0,9,3,0,1,Non-useful,,Useful,Non-useful,,match
AboutTime_097.mp4,sad,3,0,6,0,62,0,29,Useful,,Non-useful,Useful,,match
AboutTime_098.mp4,neutral,26,0,1,14,41,0,49,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_099.mp4,neutral,0,0,11,8,5,0,19,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_100.mp4,neutral,1,0,9,27,57,0,93,Non-useful,,Useful,Non-useful,,match
AboutTime_101.mp4,happy,0,0,4,83,18,0,59,Useful,,Useful,Non-useful,match,
AboutTime_102.mp4,happy,10,0,6,80,41,0,11,Useful,,Useful,Non-useful,match,
AboutTime_103.mp4,happy,4,1,0,12,3,0,0,Non-useful,,Useful,Useful,,
AboutTime_104.mp4,neutral,2,0,2,9,4,0,11,Non-useful,,Useful,Non-useful,,match
AboutTime_105.mp4,sad,8,0,69,72,93,0,35,Useful,,Non-useful,Useful,,match
AboutTime_106.mp4,scared,0,0,20,9,4,3,7,Useful,,Non-useful,Useful,,match
AboutTime_107.mp4,happy,6,0,15,64,14,0,47,Useful,,Non-useful,Useful,,match
AboutTime_108.mp4,neutral,0,0,30,14,12,0,36,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_109.mp4,sad,25,0,36,4,51,0,17,Useful,,Non-useful,Non-useful,,
AboutTime_110.mp4,neutral,0,0,0,0,0,0,12,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_111.mp4,sad,14,0,16,27,72,0,70,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_112.mp4,neutral,8,0,4,25,2,0,62,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_113.mp4,angry,164,0,1,54,25,0,113,Useful,,Non-useful,Non-useful,,
AboutTime_114.mp4,sad,3,0,2,11,32,0,20,Useful,,Non-useful,Non-useful,,
AboutTime_115.mp4,neutral,0,0,0,0,0,0,1,Non-useful,,Useful,Non-useful,,match
AboutTime_116.mp4,neutral,0,0,1,9,0,0,14,Non-useful,,Useful,Non-useful,,match
AboutTime_117.mp4,sad,1,0,8,4,34,0,23,Useful,,Non-useful,Non-useful,,
AboutTime_118.mp4,sad,1,0,35,17,39,0,24,Non-useful,,Non-useful,Non-useful,match,match
AboutTime_119.mp4,happy,0,0,11,31,20,0,19,Useful,,Useful,Non-useful,match,
